country,date,casesWeekly,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days
El_Salvador,2020-10-17,746,106,107.57142857142857,-1.4397905759162333
El_Salvador,2020-10-18,746,106,106.0,-1.4608233731739695
El_Salvador,2020-10-19,1470,210,120.85714285714286,14.016172506738545
El_Salvador,2020-10-20,1470,210,135.71428571428572,12.29314420803782
El_Salvador,2020-10-21,1470,210,150.57142857142858,10.947368421052639
El_Salvador,2020-10-22,1470,210,165.42857142857142,9.867172675521797
El_Salvador,2020-10-23,1470,210,180.28571428571428,8.98100172711571
El_Salvador,2020-10-24,1470,210,195.14285714285714,8.240887480190185
El_Salvador,2020-10-25,1470,210,210.0,7.613469985358723
El_Salvador,2020-10-26,919,131,198.71428571428572,-5.3741496598639475
El_Salvador,2020-10-27,919,131,187.42857142857142,-5.679367361610366
El_Salvador,2020-10-28,919,131,176.14285714285714,-6.021341463414631
El_Salvador,2020-10-29,919,131,164.85714285714286,-6.4071370640713665
El_Salvador,2020-10-30,919,131,153.57142857142858,-6.8457538994800675
El_Salvador,2020-10-31,919,131,142.28571428571428,-7.348837209302339
El_Salvador,2020-11-01,919,131,131.0,-7.931726907630521
El_Salvador,2020-11-02,1430,204,141.42857142857142,7.960741548527794
El_Salvador,2020-11-03,1430,204,151.85714285714286,7.373737373737388
El_Salvador,2020-11-04,1430,204,162.28571428571428,6.8673565380997115
El_Salvador,2020-11-05,1430,204,172.71428571428572,6.426056338028174
El_Salvador,2020-11-06,1430,204,183.14285714285714,6.038047973531846
El_Salvador,2020-11-07,1430,204,193.57142857142858,5.694227769110771
El_Salvador,2020-11-08,1430,204,204.0,5.387453874538739
El_Salvador,2020-11-09,1130,161,197.85714285714286,-3.0112044817927175
