country,date,currentInfected,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days,rank
area0,2020-02-10,9,4,-5.285714285714286,-11.904761904761907,7
area1,2020-02-10,7,-1,-3.0,-12.5,8
area14,2020-02-10,4,-1,-4.142857142857143,-21.62162162162161,9
area4,2020-02-10,3,-2,-4.428571428571429,-26.190476190476186,10
area13,2020-02-10,3,-4,-4.428571428571429,-26.190476190476186,10
area15,2020-02-11,1,-4,-5.285714285714286,54.16666666666667,1
area9,2020-02-11,3,0,-3.0,16.66666666666665,2
area2,2020-02-11,1,-3,-3.5714285714285716,4.166666666666674,3
area13,2020-02-11,4,1,-4.571428571428571,3.2258064516129004,4
area3,2020-02-11,3,-4,-5.0,2.941176470588247,5
area0,2020-02-11,6,-3,-5.428571428571429,2.7027027027027195,6
area11,2020-02-11,2,-3,-3.2857142857142856,-14.814814814814813,7
area1,2020-02-11,2,-5,-2.4285714285714284,-19.047619047619058,8
area14,2020-02-11,3,-1,-3.2857142857142856,-20.6896551724138,9
area4,2020-02-11,3,0,-3.2857142857142856,-25.806451612903235,10
